PricePerSqFt,PropertyAge,ValuePerAcre,BuildingToLandRatio,LastSaleAge,IsMispriced,BathBedRatio,NeighborhoodMedianValue,ZipMedianValue,GeoCluster,LuxuryIndicator,BuildingValueShare
179.43416894880977,11,1851682.608695652,3.2818388511738146,2042,False,1.0,298506.0,299999.0,33,1,0.7185204056475074
132.84964830011722,13,1888679.1666666667,3.067707255545373,3430,True,1.0,298506.0,299999.0,33,1,0.6867983136362934
104.01434223541048,19,2103170.0,3.703815530506352,2576,True,0.8333333333333334,298506.0,299999.0,33,0,0.787406629040924
151.65312163616792,20,1610122.8571428573,3.214943448699603,1931,True,1.0,298506.0,299999.0,33,1,0.7056533396741687
107.48658227848101,27,1061430.0,2.500239080611387,3544,True,0.5,213112.5,299999.0,33,0,0.7143052297372413
118.99481097108969,22,1459309.0909090908,3.220650487734336,1672,True,0.6666666666666666,213112.5,299999.0,33,0,0.7630696967431662
109.72245274319963,19,1699914.2857142854,3.528294272541087,3789,False,1.0,298506.0,299999.0,33,1,0.7347450291611342
112.01578947368421,36,773927.2727272727,1.958758557503881,1668,True,0.75,270061.0,270130.5,33,1,0.6027149994518317
107.9349593495935,31,1422428.5714285714,4.321468654801988,1820,True,0.6666666666666666,270061.0,270130.5,33,0,0.8120819523952998
99.79105211406096,23,1127638.888888889,3.360458871296913,8048,False,0.5,213112.5,299999.0,33,0,0.7706663382189924
126.24787878787879,14,1735908.3333333335,2.7058348584347076,3001,False,0.6666666666666666,298506.0,299999.0,33,1,0.7239581583128909
131.33321234119782,30,1130696.875,3.367571842868442,1673,True,0.75,270061.0,270130.5,33,1,0.7060468792752257
105.9225626740947,9,2236835.2941176468,3.7653671190646265,2917,True,0.8,298506.0,299999.0,33,0,0.7901525790113133
142.11471698113206,27,738439.2156862745,2.2706568627450983,1783,True,0.75,441202.0,299999.0,33,1,0.614988157321749
99.44406130268199,30,1128473.9130434783,3.2229055258467025,5847,False,0.75,270061.0,270130.5,33,1,0.6966122003937599
104.74831309041835,23,1411245.4545454546,3.0816396287434595,1650,True,0.5,213112.5,299999.0,33,0,0.7550004187146105
120.5076264383195,27,562921.25,1.9514809473625825,9893,True,1.1666666666666667,441202.0,299999.0,33,1,0.6250119355060766
141.5475065616798,6,2074215.3846153845,3.2210325287248365,2080,False,1.0,298506.0,299999.0,33,1,0.7630911410431377
95.83510884668829,27,1379386.6666666667,4.037812568478976,9346,False,1.0,270061.0,270130.5,33,0,0.801501150269685
119.24413553431799,20,1647000.0,3.803226591832289,3179,False,1.0,298506.0,299999.0,33,1,0.7208257437765635
103.12349397590361,16,1956399.9999999998,3.375754864683516,3505,False,0.75,298506.0,299999.0,33,0,0.771468002453486
125.76077586206897,22,1458825.0,3.360805860805861,2272,False,0.6666666666666666,213112.5,299999.0,33,1,0.660377358490566
134.71633847791378,23,1332273.6842105263,2.366466261787774,5956,True,0.5,298506.0,299999.0,33,1,0.6126605881516363
108.32964329643296,15,1761440.0,2.924777183600713,5349,False,0.5,298506.0,299999.0,33,0,0.7452084658007085
99.12273838630807,31,1266912.5,2.895968982447268,9742,True,0.625,270061.0,270130.5,33,1,0.6779967045869387
122.58316221765914,10,1557339.1304347825,2.4520721599219892,2494,True,0.875,298506.0,299999.0,33,1,0.7020335689637843
104.63826998689385,25,1228292.3076923077,2.537708259482453,2358,True,0.5,298506.0,299999.0,33,0,0.717331128896905
109.97003745318352,23,1334636.3636363635,2.848634194935249,6365,True,0.6666666666666666,298506.0,299999.0,33,0,0.7401675635174716
108.9547308319739,34,763305.7142857143,2.2105798439653674,12085,True,0.75,270061.0,270130.5,33,1,0.6183255538877889
101.60945945945946,32,1002546.6666666667,3.039895070499508,2499,True,0.6666666666666666,270061.0,270130.5,33,1,0.739769387293692
103.44930555555555,11,1655188.888888889,2.6920079671355657,1997,True,0.875,298506.0,299999.0,33,1,0.7258285392066699
102.40726096333573,11,2191515.3846153845,3.622192711135019,3899,False,0.875,298506.0,299999.0,33,1,0.7563329905193807
102.99923664122137,13,1799053.3333333335,2.9700763538463804,4510,False,0.625,298506.0,299999.0,33,0,0.7481156756516391
136.7697889182058,25,714975.8620689656,1.9984852409094833,2864,False,1.0,441202.0,299999.0,33,1,0.6140380914716195
110.14857806152061,12,1897860.0,3.0307083170276927,4163,False,0.8,298506.0,299999.0,33,1,0.693712918761131
125.38113496932516,29,1307976.0,4.444659768181652,2457,False,0.75,270061.0,270130.5,33,1,0.7434815317712251
115.68926758520666,11,1387265.2173913042,2.2219955770531863,3841,True,1.0,298506.0,299999.0,33,0,0.6896333417953998
103.48213517003875,11,1849146.1538461538,3.0409662452931685,3701,False,0.8333333333333334,298506.0,299999.0,33,0,0.752534433771928
106.23771983020012,26,1001062.8571428572,2.889404589874844,4180,True,0.75,270061.0,270130.5,33,1,0.6734071215736417
155.18120411160058,23,1554094.1176470588,2.9755354702754317,5628,True,0.75,298506.0,299999.0,33,1,0.6841019546094567
141.57668418537983,7,1559578.9473684211,2.3208562142777094,2235,True,1.25,298506.0,299999.0,33,1,0.6988728401727862
98.14532328939109,25,1489004.761904762,3.524079364581044,3059,True,0.875,213112.5,299999.0,33,1,0.7179771723522583
103.97645739910314,20,1739006.25,3.2846494657284335,4929,False,0.5,298506.0,299999.0,33,1,0.6794397662458085
126.41682898324893,12,1545295.238095238,2.233601944807095,4065,False,0.625,298506.0,299999.0,33,1,0.61156444137659
110.80879315432281,24,938827.5,2.664859804946012,9000,True,0.75,270061.0,270130.5,33,1,0.6519461775459283
